housenum,acre,adj1998,adj2007,adj2011,bedrooms,bikescore,distance,garage_spaces,latitude,longitude,price1998,price2007,price2011,price2014,squarefeet,streetname,streetno,walkscore,zip
1,0.28,148.36255,233.84185,191.82112,3,35,2.4,2,42.315334,-72.693973,101.5,203.5,181.1,210.729,0.966,Acrebrook Drive,406,9,1062
2,0.29,135.20725,261.42025,206.96768,3,44,1.97,1,42.298557,-72.674744,92.5,227.5,195.4,204.171,0.96,Autumn Dr,57,5,1062
3,0.36,256.52835,401.0359,347.9472,3,66,0.043371212,2,42.343788,-72.680235,175.5,349,328.5,338.662,1.725,Bridge Road,31,46,1062
4,0.26,231.67945,305.08605,257.49152,3,61,0.554734848,1,42.344462,-72.672208,158.5,265.5,243.1,276.25,1.727,Bridge Road,200,40,1060
5,0.31,271.8762,298.766,236.62528,4,53,0.596590909,0,42.342528,-72.664372,186,260,223.4,169.173,1.576,Bridge Road,395,32,1062
6,0.31,192.9444,275.784,243.29824,3,36,1.88,1,42.318737,-72.690965,132,240,229.7,211.487,1.32,Brierwood Drive,23,12,1062
7,0.08,171.0189,303.93695,297.95296,3,97,0.444886364,0,42.323106,-72.633517,117,264.5,281.3,311.456,1.202,Bright Avenue,18,82,1060
8,0.11,213.4082,380.92665,378.76992,4,95,0.444886364,0,42.322986,-72.633565,146,331.5,357.6,377.857,2.136,Bright Street,23,88,1060
9,0.31,427.54725,336.11175,260.24544,5,38,1.93,0,42.315429,-72.670203,292.5,292.5,245.7,227.681,1.918,Burts Pit Rd,497,15,1062
10,0.27,163.7104,249.92925,212.79328,3,30,2.873030303,0,42.310364,-72.69491,112,217.5,200.9,224.366,1.008,Burts Pit Rd,1086,9,1062
11,0.27,177.59655,271.76215,215.97088,3,46,0.756628788,0,42.345666,-72.668673,121.5,236.5,203.9,218.785,1.296,Carolyn Street,14,35,1062
12,0.51,200.98375,309.1079,277.29856,3,38,1.41,2,42.319053,-72.664917,137.5,269,261.8,269.62,1.432,Clement St,21,20,1062
13,0.23,238.2571,471.131,434.48384,4,79,1.42155303,0,42.310611,-72.633241,163,410,410.2,447.842,2.04,Columbus Ave,46,68,1060
14,0.11,263.83685,448.72355,394.65792,3,85,0.246780303,0,42.326163,-72.639853,180.5,390.5,372.6,386.446,1.604,Crescent Street,156,65,1060
15,0.15,331.8059,564.2081,450.6896,4,74,0.396022727,0,42.325698,-72.640736,227,491,425.5,528.114,2.278,Crescent Street,176,68,1060
16,0.23,167.36465,256.82385,215.33536,3,36,1.567234848,0,42.320944,-72.67951,114.5,223.5,203.3,221.22,1.208,Crestview Dr,15,20,1062
17,0.23,217.06245,321.748,310.98112,5,37,1.676704545,0,42.319672,-72.678576,148.5,280,293.6,320.206,1.744,Crestview Dr,64,17,1062
18,0.23,154.9402,238.43825,201.67168,3,36,1.598674242,0,42.320531,-72.679207,106,207.5,190.4,179.487,1.008,Crestview Drive,31,17,1062
19,0.31,225.83265,337.8354,250.39488,4,79,0.103030303,0,42.308126,-72.646001,154.5,294,236.4,243.639,1.922,Earle St,184,49,1060
20,0.07,204.638,318.87525,328.66976,4,94,0.3375,0,42.311589,-72.635034,140,277.5,310.3,325.666,2.1,Edgewood Terrace,1,80,1060
21,0.23,189.29015,280.3804,280.58208,4,54,1,1,42.32391,-72.656634,129.5,244,264.9,282.765,1.664,Federal Street,139,29,1062
22,0.17,148.36255,243.6092,225.71552,2,70,0.042045455,1,42.343097,-72.679185,101.5,212,213.1,198.686,0.892,Fern St,111,45,1062
23,0.33,127.1679,218.329,181.33504,3,29,2.15,0,42.306509,-72.674787,87,190,171.2,168.761,1.01,Florence Rd,731,3,1062
24,0.33,160.787,239.0128,205.59072,3,32,2.621401515,0,42.311922,-72.696602,110,208,194.1,200.871,1.248,Forest Glen Dr,41,11,1062
25,0.31,165.90295,268.8894,236.2016,3,33,2.579734848,1,42.312961,-72.696535,113.5,234,223,237.206,1.3,Forest Glen Dr.,77,9,1062
26,0.34,154.20935,247.0565,212.47552,3,31,2.7,1,42.310772,-72.696702,105.5,215,200.6,205.77,1.04,Forest Glen Drive,11,9,1062
27,0.13,196.59865,309.68245,263.31712,4,83,0.216738636,0,42.328282,-72.642337,134.5,269.5,248.6,287.489,1.466,Franklin Street,155,60,1060
28,0.23,193.67525,293.0205,227.41024,3,28,1.91,1,42.323328,-72.690341,132.5,255,214.7,223.067,1.636,Golden Drive,7,18,1062
29,0.21,178.3274,282.10405,221.79648,4,46,0.708522727,1,42.34472,-72.66787,122,245.5,209.4,237.594,1.335,Grandview Street,27,32,1062
30,0.14,204.638,282.6786,261.94016,4,32,2.011742424,0,42.31978,-72.697778,140,246,247.3,275.218,1.512,Gregory Lane,31,14,1062
31,0.21,181.2508,278.0822,249.65344,4,27,1.991666667,1,42.319787,-72.697766,124,242,235.7,280.283,1.752,Gregory Lane,32,18,1062
32,0.14,211.21565,320.5989,226.45696,3,88,0.892045455,0,42.318904,-72.624688,144.5,279,213.8,237.789,1.912,Hancock St,8,92,1060
33,0.26,151.28595,237.8637,205.69664,3,38,0.875378788,0,42.346922,-72.668068,103.5,207,194.2,191.694,0.942,Harold Street,34,22,1062
34,0.56,238.98795,434.93435,400.16576,3,87,0.329545455,0,42.328618,-72.640122,163.5,378.5,377.8,365.506,1.675,Hayes Avenue,24,57,1060
35,0.11,271.14535,509.0513,457.78624,4,74,0.326515152,1,42.325601,-72.640816,185.5,443,432.2,474.245,1.8,Hillside Road,33,68,1060
36,0.32,196.59865,285.55135,275.9216,3,48,0.704356061,0,42.326028,-72.661687,134.5,248.5,260.5,259.48,1.412,Hinckley Street,90,37,1062
37,0.5,216.3316,348.75185,281.2176,3,44,0.866856061,2,42.324689,-72.661135,148,303.5,265.5,326.891,1.763,Hinckley Street,36,31,1062
38,0.34,213.4082,345.8791,244.1456,4,77,0.204734848,2,42.334671,-72.643834,146,301,230.5,228.829,1.796,Jackson Street,155,48,1060
39,0.19,290.14745,486.64385,414.78272,4,75,0.138825758,2,42.330071,-72.645634,198.5,423.5,391.6,426.5,2.224,Jackson Street,14,48,1060
40,0.11,240.44965,394.1413,375.80416,3,49,1.145454545,0,42.320267,-72.651623,164.5,343,354.8,350.766,1.602,James Avenue,33,42,1060
41,0.28,187.0976,317.1516,301.55424,4,79,0.179545455,1,42.340736,-72.673735,128,276,284.7,279.187,1.9,Lake Street,60,65,1062
42,0.1,130.0913,226.94725,194.99872,3,33,2.28,0,42.353467,-72.642586,89,197.5,184.1,214.737,1.348,Laurel Park,10,11,1060
43,0.1,139.59235,248.2056,190.86784,2,33,2.28,0,42.353751,-72.642551,95.5,216,180.2,212.959,1.084,Laurel Park,16,11,1060
44,0.1,175.404,333.81355,250.92448,2,33,0.421969697,0,42.35393,-72.642528,120,290.5,236.9,301.366,1.83,Laurel Park,22,11,1060
45,0.1,66.50735,162.59765,145.00448,2,33,2.28,0,42.354408,-72.642469,45.5,141.5,136.9,144.366,0.587,Laurel Park,31,11,1060
46,0.1,152.74765,284.9768,284.9248,3,33,2.28,0,42.354408,-72.642469,104.5,248,269,318.348,1.389,Laurel Park,73,11,1060
47,0.1,125.7062,195.347,155.49056,1,32,2.28,0,42.354408,-72.642469,86,170,146.8,185.141,0.645,Laurel Park,96,11,1060
48,0.1,60.66055,175.23775,141.72096,1,32,2.28,0,42.353846,-72.642539,41.5,152.5,133.8,132.135,0.804,Laurel Park,107,11,1060
49,0.1,94.27965,206.26345,201.7776,2,32,2.28,0,42.310089,-72.649134,64.5,179.5,190.5,200.219,0.8,Laurel Park,117,11,1060
50,0.26,242.6422,495.83665,467.21312,5,49,1.21,2,42.321535,-72.663897,166,431.5,441.1,525.112,3.07,Liberty Street,14,22,1062
51,0.35,149.82425,240.1619,211.84,3,25,2.53,2,42.312297,-72.689104,102.5,209,200,210.701,0.864,Longview Drive,12,9,1062
52,0.46,141.7849,227.5218,181.01728,3,26,3.48,0,42.313631,-72.688904,97,198,170.9,185.508,0.864,Longview Drive,76,11,1062
53,0.43,162.2487,243.6092,209.82752,4,21,2.4,0,42.313131,-72.688979,111,212,198.1,209.945,1.008,Longview Drive,52,11,1062
54,0.28,123.51365,190.7506,172.22592,1,97,0.126893939,0,42.318079,-72.631609,84.5,166,162.6,142.702,0.524,Main Street,182,94,1060
55,0.55,225.83265,382.6503,332.48288,2,43,0.73219697,0,42.326513,-72.663059,154.5,333,313.9,367.384,1.856,Maplewood Terrace,117,37,1062
56,0.28,160.787,247.63105,212.8992,3,43,0.935037879,0,42.346707,-72.666333,110,215.5,201,201.443,0.96,Mary Jane Lane,26,22,1062
57,0.55,261.6443,448.149,359.49248,4,75,0.390530303,2,42.334066,-72.677273,179,390,339.4,360.87,2.542,Meadow St,61,80,1062
58,0.18,220.7167,347.0282,303.24896,3,83,0.285795455,1,42.333673,-72.668872,151,302,286.3,313.64,1.395,Middle St,17,72,1062
59,0.26,214.13905,287.275,235.77792,3,83,0.203598485,1,42.333662,-72.66927,146.5,250,222.6,270.622,1.349,Middle St,27,72,1062
60,0.25,199.52205,295.3187,244.56928,2,60,0.502462121,0,42.330097,-72.666289,136.5,257,230.9,258.091,1.3,Nonotuck Street,113,54,1062
61,0.22,251.4124,374.6066,323.90336,4,85,0.096780303,2,42.338464,-72.672035,172,326,305.8,357.303,2.256,North Maple Street,66,69,1062
62,0.31,196.59865,316.57705,266.49472,2,85,0.115340909,2,42.338589,-72.672035,134.5,275.5,251.6,289.946,1.519,North Maple Street,69,69,1062
63,0.26,208.29225,295.3187,265.8592,3,69,0.385984848,2,42.342864,-72.67186,142.5,257,251,296.142,1.454,North Maple Street,160,40,1062
64,0.19,237.52625,361.9665,314.79424,3,55,0.75625,1,42.32656,-72.656248,162.5,315,297.2,331.387,1.584,Nutting Avenue,43,31,1062
65,0.14,202.44545,303.3624,380.67648,4,69,0.6375,2,42.309151,-72.636371,138.5,264,359.4,389.242,1.624,Olive St,38,55,1060
66,0.24,351.53885,575.6991,469.54336,6,71,0.111363636,2,42.332789,-72.65263,240.5,501,443.3,495.218,2.85,Pilgrim Dr,19,35,1060
67,0.37,194.4061,277.50765,238.63776,3,76,0.300568182,1,42.332189,-72.670035,133,241.5,225.3,246.02,1.376,Pine St,67,75,1062
68,0.28,181.98165,267.7403,222.432,3,39,1.58,1,42.322072,-72.686168,124.5,233,210,212.892,1.427,Pioneer Knolls,32,15,1062
69,0.23,303.30275,500.43305,400.3776,3,69,0.166098485,1,42.331444,-72.65092,207.5,435.5,378,384.14,1.837,Prospect Avenue,23,37,1060
70,0.16,199.52205,338.40995,307.168,3,87,0.192045455,0,42.327189,-72.638884,136.5,294.5,290,295.182,1.386,Prospect Street,193,71,1060
71,0.2,248.489,545.8225,465.41248,3,83,0.35530303,2,42.328844,-72.641898,170,475,439.4,520.147,1.966,Prospect Street,248,60,1060
72,0.12,214.8699,351.6246,312.88768,3,70,0.165719697,0,42.334064,-72.647376,147,306,295.4,284.484,1.376,Ridgewood Terrace,63,37,1060
73,0.33,200.2529,316.0025,284.81888,3,51,1.72,0,42.331929,-72.614425,137,275,268.9,228.565,1.2,Riverbank Rd.,140,25,1060
74,0.33,227.29435,410.2287,378.45216,3,55,0.911363636,2,42.324647,-72.656992,155.5,357,357.3,447.27,1.734,Riverside Drive,101,31,1062
75,0.36,219.98585,331.51535,287.14912,3,53,0.785227273,0,42.327266,-72.669809,150.5,288.5,271.1,286.163,1.556,Riverside Drive,557,54,1062
76,0.38,178.3274,279.2313,213.53472,3,57,0.985984848,0,42.304389,-72.664435,122,243,201.6,222.864,1.7,Rocky Hill Road,266,2,1062
77,0.18,173.21145,272.91125,291.17408,4,70,0.35719697,1,42.310001,-72.650328,118.5,237.5,274.9,310.018,2.042,Rust Avenue,35,25,1060
78,0.39,178.3274,257.97295,250.07712,3,37,1.871780303,1,42.320756,-72.690235,122,224.5,236.1,211.725,1.32,Ryan Road,372,17,1062
79,0.46,197.3295,302.2133,235.46016,3,35,2.89,2,42.309889,-72.705136,135,263,222.3,266.124,1.728,Ryan Road,842,6,1062
80,0.27,164.44125,254.52565,213.64064,3,32,2.94280303,1,42.309078,-72.710395,112.5,221.5,201.7,214.289,1.294,Ryan Road,900,3,1062
81,0.51,160.787,242.4601,213.11104,3,41,1.589962121,1,42.322043,-72.688875,110,211,201.2,211.104,0.966,Ryan Road,311,17,1062
82,0.54,222.90925,219.4781,210.46304,2,36,1.939962121,0,42.316714,-72.695596,152.5,191,198.7,216.992,1.008,Ryan Road,540,14,1062
83,0.35,192.9444,266.5912,216.39456,3,35,2.577083333,2,42.311375,-72.702907,132,232,204.3,202.485,1.594,Ryan Road,788,6,1062
84,0.22,233.14115,341.85725,307.80352,4,84,0.200189394,1,42.334189,-72.666235,159.5,297.5,290.6,429.368,1.817,South Main Street,168,66,1062
85,0.28,161.51785,237.8637,211.09856,3,34,1.75,0,42.320946,-72.681657,110.5,207,199.3,208.703,0.96,Sandy Hill Rd,116,20,1062
86,0.18,221.44755,324.0462,252.0896,4,77,0.154356061,1,42.331541,-72.62505,151.5,282,238,249.413,1.344,Sherman Avenue,65,58,1060
87,0.17,219.255,322.8971,273.59136,4,60,0.385984848,2,42.330775,-72.66328,150,281,258.3,332.674,1.5,South Main Street,74,46,1062
88,0.15,264.5677,382.07575,338.52032,5,92,0.381818182,2,42.312089,-72.634334,181,332.5,319.6,356.265,2.448,South Street,145,75,1060
89,0.35,470.6674,798.6245,539.23872,5,73,0.624431818,2,42.309189,-72.639134,322,695,509.1,513.096,4.03,South Street,250,51,1060
90,0.25,202.44545,286.1259,228.2576,4,37,1.891060606,1,42.323484,-72.689806,138.5,249,215.5,236.498,1.638,Spruce Hill Avenue,104,20,1062
91,0.43,218.52415,314.8534,283.44192,4,37,1.887272727,1,42.323207,-72.690353,149.5,274,267.6,295.772,1.772,Spruce Hill Avenue,126,20,1062
92,0.09,278.45385,472.2801,405.77952,2,95,0.416477273,4,42.322789,-72.634726,190.5,411,383.1,421.46,2.137,State St,134,88,1060
93,0.05,168.0955,290.7223,212.47552,2,97,0.038825758,0,42.327656,-72.635667,115,253,200.6,233.023,0.934,State St,279,66,1060
94,0.22,203.1763,288.99865,252.93696,3,73,0.144507576,2,42.337605,-72.663024,139,251.5,238.8,279.814,1.457,Straw Ave,95,51,1062
95,0.25,271.14535,408.50505,378.1344,4,83,0.153219697,1,42.334739,-72.664785,185.5,355.5,357,347.408,1.737,Sumner Avenue,26,58,1062
96,0.12,194.4061,303.93695,236.62528,3,71,0.258712121,1,42.332556,-72.623309,133,264.5,223.4,267.29,1.262,Swan Street,22,46,1060
97,0.26,381.5037,669.9253,698.5424,6,89,0.458143939,1,42.321692,-72.635167,261,583,659.5,879.328,3.175,Trumbull Road,40,89,1060
98,0.23,151.28595,225.79815,227.41024,2,18,3.976780303,0,42.310625,-72.7288,103.5,196.5,214.7,191.407,1.041,Turkey Hill Rd,164,8,1062
99,0.19,427.54725,513.6477,406.41504,3,90,0.674810606,0,42.323097,-72.627901,292.5,447,383.7,467.861,2.102,Union Street,53,89,1060
100,0.13,218.52415,324.0462,335.7664,3,73,0.950568182,0,42.314479,-72.622085,149.5,282,317,301.94,1.859,Valley Street,41,63,1060
101,0.46,323.76655,516.52045,506.40352,4,60,0.764204545,2,42.322818,-72.649848,221.5,449.5,478.1,534.865,2.528,Vernon Street,42,45,1060
102,0.4,222.1784,329.21715,272.10848,4,78,0.125189394,0,42.339922,-72.673915,152,286.5,256.9,331.84,1.96,Warren Street,17,65,1062
103,0.2,218.52415,330.36625,264.69408,4,80,1.070265152,0,42.317853,-72.62307,149.5,287.5,249.9,320.805,1.941,Williams Street,38,80,1060
104,0.31,175.404,272.91125,237.04896,2,47,0.723295455,0,42.326989,-72.658935,120,237.5,223.8,176.502,1.197,Winslow Ave,1,38,1062